pop1,pop2,fst_hudson
ACB,ASW,0.002
ACB,BEB,0.0934
ACB,CDX,0.1324
ACB,CEU,0.1014
ACB,CHB,0.1324
ACB,CHS,0.1335
ACB,CLM,0.0816
ACB,ESN,0.0034
ACB,FIN,0.1044
ACB,GBR,0.1017
ACB,GIH,0.0954
ACB,GWD,0.006
ACB,IBS,0.0975
ACB,ITU,0.0954
ACB,JPT,0.1344
ACB,KHV,0.1304
ACB,LWK,0.0064
ACB,MSL,0.0044
ACB,MXL,0.0972
ACB,PEL,0.1325
ACB,PJL,0.092
ACB,PUR,0.0699
ACB,STU,0.0949
ACB,TSI,0.0986
ACB,YRI,0.0025
ASW,BEB,0.0755
ASW,CDX,0.1178
ASW,CEU,0.0805
ASW,CHB,0.1174
ASW,CHS,0.1186
ASW,CLM,0.062
ASW,ESN,0.0088
ASW,FIN,0.0837
ASW,GBR,0.0808
ASW,GIH,0.0773
ASW,GWD,0.0098
ASW,IBS,0.0772
ASW,ITU,0.0778
ASW,JPT,0.1194
ASW,KHV,0.1154
ASW,LWK,0.009
ASW,MSL,0.0094
ASW,MXL,0.0772
ASW,PEL,0.1144
ASW,PJL,0.0735
ASW,PUR,0.0515
ASW,STU,0.0774
ASW,TSI,0.0783
ASW,YRI,0.008
BEB,CDX,0.0527
BEB,CEU,0.0368
BEB,CHB,0.0518
BEB,CHS,0.0528
BEB,CLM,0.0278
BEB,ESN,0.1174
BEB,FIN,0.0372
BEB,GBR,0.0372
BEB,GWD,0.1131
BEB,IBS,0.0375
BEB,JPT,0.0542
BEB,KHV,0.0494
BEB,LWK,0.1077
BEB,MSL,0.1174
BEB,MXL,0.0344
BEB,PEL,0.0669
BEB,PUR,0.0282
BEB,TSI,0.0362
BEB,YRI,0.1161
CDX,CEU,0.0978
CDX,CHB,0.0084
CDX,CHS,0.0047
CDX,CLM,0.0719
CDX,ESN,0.1544
CDX,FIN,0.0925
CDX,GBR,0.0985
CDX,GIH,0.0685
CDX,GWD,0.1498
CDX,IBS,0.0973
CDX,ITU,0.0646
CDX,JPT,0.0166
CDX,KHV,0.0016
CDX,LWK,0.1456
CDX,MSL,0.1555
CDX,MXL,0.0675
CDX,PEL,0.0849
CDX,PJL,0.066
CDX,PUR,0.0773
CDX,STU,0.0633
CDX,TSI,0.0972
CDX,YRI,0.1526
CEU,CHB,0.096
CEU,CHS,0.0977
CEU,CLM,0.0143
CEU,ESN,0.1291
CEU,FIN,0.0062
CEU,GBR,0.0002
CEU,GIH,0.0325
CEU,GWD,0.1244
CEU,IBS,0.0022
CEU,ITU,0.038
CEU,JPT,0.0985
CEU,KHV,0.0946
CEU,LWK,0.1189
CEU,MSL,0.129
CEU,MXL,0.0334
CEU,PEL,0.0804
CEU,PJL,0.0269
CEU,PUR,0.01
CEU,STU,0.0385
CEU,TSI,0.0034
CEU,YRI,0.1278
CHB,CHS,0.001
CHB,CLM,0.0689
CHB,ESN,0.1546
CHB,FIN,0.0901
CHB,GBR,0.0968
CHB,GIH,0.0673
CHB,GWD,0.1499
CHB,IBS,0.0957
CHB,ITU,0.0636
CHB,JPT,0.0068
CHB,KHV,0.0062
CHB,LWK,0.1456
CHB,MSL,0.1556
CHB,MXL,0.0628
CHB,PEL,0.0786
CHB,PJL,0.0647
CHB,PUR,0.0752
CHB,STU,0.0623
CHB,TSI,0.0956
CHB,YRI,0.1527
CHS,CLM,0.0708
CHS,ESN,0.1555
CHS,FIN,0.092
CHS,GBR,0.0985
CHS,GIH,0.0685
CHS,GWD,0.1509
CHS,IBS,0.0973
