population_id	n	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	PC11_AVG	PC12_AVG	PC13_AVG	PC14_AVG	PC15_AVG	PC16_AVG	PC17_AVG	PC18_AVG	PC19_AVG	PC20_AVG
ACB	95	-0.1416819861678626	-0.06464665010194337	0.00480869957666366	-0.004106377737574502	0.007280109878652226	0.002500394766917052	0.0077610094397718545	0.008910331229174237	0.0022873982123248343	0.00023001053753006798	0.003139229175920409	-0.002629569684429989	0.002294709995656187	0.0003154839922656581	0.001863166739915215	-0.0008198947258663175	-0.00757831491280168	-0.0022679037273630907	-0.01018069931198064	0.0002705628929966316
ASW	55	-0.11867104842235054	-0.06367367954320886	0.006800442524193876	-0.005428920165660616	0.008982323980267251	0.00209809930516166	0.005635233385220184	0.005192510769035703	0.0022540363594225885	0.00033214272469042096	0.00238231849272734	-0.0032254258918882773	0.0012105504342242138	-0.0018277954233638259	0.002320854803934234	-0.001120776278061371	-0.0047027420226885665	-0.0005301650858553809	-0.005649121405269484	0.0005414170623511375
Aari	2	-0.101674	-0.05944795	-0.00553991	-0.00639679	-0.03341505	-0.00824847	-0.03784145	-0.03256695	-0.01560355	-0.009497005	-0.01758925	0.009441564999999999	-0.01198655	-0.010768525	0.04141525	0.009803705	0.0387103	0.008784095	0.050826800000000005	-0.003596735
Abkhasian	2	0.09429085000000001	-0.0659111	-0.025862299999999998	0.00157599	-0.0419568	0.011333	-0.0253014	0.024589800000000002	0.02034345	0.001449025	0.03367515	-0.0029278665	-0.0174435	0.0162513	-0.0008822200000000001	-0.021240500000000002	0.007695245	-0.004950355	-0.0229029	-0.001424925
Adygei	16	0.09167871951099917	-0.05989484412359654	-0.01836452516183738	-0.0018901726011876481	-0.025090500368278288	0.010188464265159283	-0.026847436328436013	0.021541679862382045	0.01498771704966622	0.0020110497968869098	0.0342486924943023	-0.0030336773815378133	-0.015217243394645695	0.007254700622466791	0.00013606645943772328	-0.020091017058613724	0.008395754868327441	-0.005259826854764792	-0.020615946823533928	0.0071581312253848825
Agaw	2	-0.03083355	-0.0681667	-0.007371685	-0.01890785	-0.0697262	-0.008925205	-0.025423599999999998	-0.00042526499999999987	-0.02683775	-0.016404600000000002	-0.0184031	0.006102679999999999	-0.007085655	-0.010014225	0.038412550000000004	0.008776205	0.0406284	0.009581880000000001	0.04467195	-0.0040421599999999995
Albanian	1	0.106122	-0.0811918	0.00534968	-0.0352649	-0.0241273	-0.0026666	0.00202276	-0.00410663	0.00191918	0.00112723	0.0135877	0.00128677	0.00382432	0.0158175	0.00188721	-0.0179949	-0.00888605	-0.013375	-0.00175551	0.000369565
Aleut	2	0.0449466	0.04701345	0.06357460000000001	0.023602400000000003	0.025800299999999998	0.005525505	-0.0204237	0.016617149999999997	-0.017823850000000002	0.011743300000000002	0.0008709079999999999	0.00219065	-0.002682765	-0.006183185	9.373499999999996e-05	-0.0016337445	-0.000271939	-0.0025282005	0.000348402	0.037260749999999995
Altaian	1	0.0214897	0.0888282	0.0102348	-0.0167029	0.0125407	0.012085	-0.0237375	0.0217438	-0.0252085	0.045763	0.000926158	-0.00359366	-0.00549663	-0.000942246	-3.94036e-05	0.00317698	0.00124814	0.000646611	0.00122576	0.0191243
Amhara	2	-0.0415977	-0.06871015	-0.0070163199999999995	-0.01638415	-0.0634982	-0.009117924999999999	-0.02759015	-0.008391655	-0.02161715	-0.013874250000000001	-0.021943900000000002	0.006935945	-0.01132035	-0.007812695	0.0415173	0.00784071	0.040297650000000004	0.00511651	0.04684339999999999	-0.002346425
Ami	2	-0.01322275	0.1478335	-0.00921432	-0.04599765	-0.003503005	0.00151584	0.009451874999999998	-0.01006849	0.020575450000000002	-0.0346842	0.0024622249999999997	0.000280191	-0.002234435	0.0022318349999999997	-0.0007711150000000001	-0.0005060745	0.0004525925	0.00040260705	0.0011881679999999999	0.001185144
Armenian	2	0.09114359999999999	-0.07042335	-0.02231475	-0.0056095	-0.058405700000000005	0.0035995999999999997	-0.021249499999999998	0.015957	0.00970839	-0.0005832775	0.02705205	-0.0014882250000000001	-0.010657699999999999	0.02122935	0.004292512	-0.014512114999999999	0.007926045	-0.004433305	-0.012375774999999999	0.001029841
Ashkenazi	2	0.0808208	-0.0605025	-0.00124768	-0.0259678	-0.03484985	-0.0012956405	-0.005629815	0.00399889	0.003180906	0.003418	0.0072927800000000004	0.00175604	-0.004574265	0.0057522400000000005	-0.001020825	-0.0133778	-0.0005909515	-0.0009961305	-0.005898904999999999	0.00013002100000000002
Atayal	1	-0.0137025	0.146541	-0.0116135	-0.0454101	-0.00253257	0.000572744	0.00919386	-0.0120066	0.0205583	-0.0352136	0.00308281	0.000145445	-0.00128718	0.00155476	-0.000376351	0.000247673	-0.000451086	-0.000341431	0.00290567	0.00470556
Australian	2	-0.0144031	0.0728354	-0.0462839	0.02587755	0.02166725	-0.22046949999999998	-0.01033564	0.015541200000000002	0.004586975	0.0020364249999999997	0.002278405	-0.0013509034999999998	-0.000917335	-0.00030758	0.0012800565	-0.001119129	-0.00019901	0.00299959	0.000822591	-0.001989911
BEB	99	0.03373815315142427	0.030605718898587982	-0.06261662818583727	0.05342173811914233	0.009155641032586965	0.002025363175732867	0.0119078702260081	-0.010516572550101471	-0.007341130557081872	-0.0009155601719533888	-0.007222634931078352	0.0021296705234711754	0.007116445458772516	-0.002425511795188442	0.0013497455072004995	-0.003513534118294779	0.0018650001413052738	-0.00037666285003294946	-0.0014189827978204153	0.002891146794315528
Baka	2	-0.16998950000000002	-0.06418445	0.00176457	0.00010654349999999997	0.00639246	-0.003047755	-0.07145660000000001	-0.0837971	0.006161455	0.006079365	0.0006626585000000001	0.0002345135	0.00439452	0.003836455	-0.016593999999999998	-0.004242175	-0.01447365	-0.003432755	-0.023546900000000003	0.00016142499999999998
Bakola	2	-0.16899	-0.06405765	0.002390975	0.0005665385	0.00689969	-0.00407665	-0.0737547	-0.0852155	0.0057435049999999994	0.007668825	-7.1332e-05	0.0020374629999999998	0.00044737749999999995	0.0023798450000000002	-0.01880165	-0.002938135	-0.012723149999999999	-0.0013386885	-0.021401	-0.0004912849999999999
Balochi	24	0.06437376325304937	-0.03402927017412001	-0.04989428957307137	0.0410481915512363	-0.017739332872126253	0.016058412572880053	-0.02542528492978205	0.021038845054999505	0.017181576503100746	-0.0030022474750656817	0.035246404224848184	-0.011546406277565962	-0.03891274067841512	0.013127160251601178	-0.007179397642003829	0.02432078492781929	-0.01755305841583401	0.006021857463177682	0.015203834012324785	-0.006730987051314134
BantuKenya	10	-0.15852834829543125	-0.06226143719058509	0.001617051580799569	-0.0018681014136286026	-0.0027234145276108235	0.0005686252359928859	-0.010712950310121394	-0.008952487942207543	-0.002580100416693545	-0.0012389663446233177	-0.002842353005802894	0.0014707001064161755	-0.0028467506529661264	-0.005314741885889005	0.04061806829224989	0.010617413227959283	0.006521459189083907	0.003973254442362234	0.018998710006511522	-0.00024980843021514407
BantuSouthAfrica	8	-0.1668236258605225	-0.06381308538970401	0.0024263586591407	-0.0011015150678031593	0.004530444957394578	0.00039769487836339545	-0.02167437485336176	-0.02271277972735414	0.0017677230780156863	0.003111898241877645	0.0013571714143792225	-0.0015231795494033773	0.0009714661698207147	-0.0003444770743939126	0.010723049202028394	0.0034145186766728415	-0.006099249388424768	0.00023655040474386164	-0.00158508999120422	0.00017126343455792074
Basque	23	0.11313285183212693	-0.08910378728892737	0.02181772808779781	-0.04839812249699403	0.006859422526696834	-0.009675733602645932	0.03597660145908467	-0.031625044476023	0.01024473929517627	0.028187467193986234	-0.010558344447863034	-0.01636833085311973	0.012212789876312321	0.023635843958606368	-0.013337458708107194	0.0945350281050785	0.030483992610554417	-0.03533387781434269	-0.019339371341866172	-0.006326805952105382
Bedouin	46	0.06109498315139709	-0.07493034646657407	-0.014586327661352507	-0.020400941549569153	-0.08991090278902214	-0.005423733445288313	-0.022958026358337123	0.019029735906438968	-0.02568893983944551	-0.023331254465201425	-0.02016950598237419	-0.024643268942462222	0.004488020648234498	0.002256483408961068	0.0006449852033306664	-0.005559531531681936	0.0044726286168160455	-0.0021217604106744774	0.002667364675732948	0.0012424518735636501
Bedzan	2	-0.17125249999999997	-0.06617535	0.00179608	-0.00042008394999999997	0.007664045	-0.0006808249999999999	-0.0652089	-0.0760701	0.003914674999999999	0.006732355	0.002413175	0.0005828944	-6.173999999999991e-05	0.0035943299999999997	-0.01291186	-0.002053645	-0.01353115	-0.0023976149999999996	-0.0216318	-0.0013155315
BergamoItalian	12	0.10798202100189826	-0.086030636065054	0.010135760919608104	-0.03925869873799437	-0.011978227806263956	-0.005036679889348814	0.009857841352965633	-0.008980528645008914	0.005433455433338864	0.008596011347422551	0.0032059467076890925	-0.000110518010091355	0.0008039542133247568	0.009296637627944467	0.003858666047679513	-0.018695315125608552	-0.008744071905334497	-0.0039008981935345715	-0.0022325878275821567	0.004123991954654645
Biaka	21	-0.1707959086751714	-0.06487311761007346	0.0015061344277544192	0.0010203301927088626	0.008063976092624351	-0.003314884636143846	-0.0785227851108824	-0.09209494283760203	0.005602174031703478	0.006863613352447861	0.0012289781691873873	0.0003921647262797739	0.0018674236169049282	0.004910218750142206	-0.022510213802977692	-0.005270587786027939	-0.016858729361416348	-0.004312983326561095	-0.030190989393382182	-0.001966207038800915
Bougainville	10	-0.014303037306457654	0.08533133763597485	-0.040326236890565886	0.01243860928876965	0.020778309090923135	-0.21935899363608144	-0.01292136658002394	0.016267460489564206	0.014883699974750081	-0.005827923359398655	0.00447793447902877	-0.0019104466268298822	-0.003640942674575981	-0.0006954304393906431	0.0016741942229046782	0.002291636271921105	-0.0028116173474917114	0.002684119581940399	0.002205972857289945	-0.004482407623051522
Brahmin	2	0.04853375	0.0043225095	-0.06443155	0.0604469	0.008249215	0.00549522	0.003718355	-0.0022051700000000002	-0.0007153719999999999	-0.000783436	0.001704622	-0.00153818	-0.000640762	-0.0007634235	0.0006576569500000001	-0.00014141000000000002	-0.0014294250000000002	0.002288451	9.696500000000007e-05	0.002378865
Brahui	25	0.06578324807890883	-0.035157416385257136	-0.05065228156338627	0.0418086921545715	-0.019903336742220876	0.016445162653054794	-0.02791925689108914	0.02291931908306635	0.018939156248906484	-0.003627165002214129	0.039989684131016036	-0.013726502547459211	-0.04643534159010383	0.01760626392264024	-0.009064528652231691	0.032612093410462006	-0.023731596001182343	0.006561505434060457	0.02045614860652348	-0.010448675034354966
Bulala	2	-0.1311515	-0.0624386	-2.521149999999998e-05	-0.0056593400000000006	-0.01621465	-0.0005267715750000001	-0.004701435	0.00145645905	-0.009931665	-0.007138525	-0.01639815	0.00549213	-0.009198615	-0.007393255	0.02935435	0.01080332	0.02415205	0.005443274999999999	0.03777105	-0.0035740600000000004
Bulgarian	2	0.10542750000000001	-0.079293	0.00528657	-0.0293907	-0.004773795	-0.0021017265	-0.004052665	0.0031185555	0.0024487008	-0.00061922	0.0013553645000000001	0.002110842	-0.000736124	0.0063812700000000005	0.00294342	-0.018307	-0.007461915	-0.0038028100000000002	-0.00413973	0.006608185
Burmese	2	-0.0036350354999999997	0.12352950000000001	-0.01706175	-0.022012749999999998	-0.000673727	0.0028840899999999997	0.0036241970000000004	-0.0035305500000000004	0.00370917	-0.004025105	-0.000979032	0.001958722	0.002295395	-0.00213694655	0.0023318749999999997	-0.000640704	0.0007999875	0.000622959	-0.00045717669999999997	0.00634671
