entity	type	n	median_d	rms_d	max_d
African	metadata_superpop	829	0.03450969722476057	0.06372781149660141	0.26546029305807006
American	metadata_superpop	420	0.10302972651173241	0.11229074060708086	0.2594229097382362
Central Asian Siberian	metadata_superpop	23	0.06488589226790556	0.06514792837499896	0.11239931575615893
Central South Asian	metadata_superpop	193	0.04979597407870364	0.08821338754595051	0.2510097545652342
East Asian	metadata_superpop	732	0.03482636475823894	0.042076228376384424	0.13716945106626657
European	metadata_superpop	678	0.04867483705547471	0.06981106896608555	0.16774106157356364
Middle Eastern	metadata_superpop	154	0.0988435771011951	0.12817468334154655	0.28385666721287817
Oceanian	metadata_superpop	35	0.06668653651226043	0.11293969038520248	0.25768502135091825
South Asian	metadata_superpop	533	0.020869883065567814	0.03258939536102625	0.1708041083216393
West Eurasian	metadata_superpop	43	0.0519537855809741	0.06953413353739082	0.1392370966727569
