entity	type	n	median_d	rms_d	max_d
ACB	population	95	0.01347832750341235	0.02391348707142402	0.09649454859456313
ASW	population	55	0.021333957971099136	0.047292908819473664	0.2336690099384631
Aari	population	2	0.0057944381865069556	0.0057944381865069556	0.005794438186506958
Abkhasian	population	2	0.009116722667327456	0.009116722667327456	0.009116722667327456
Adygei	population	16	0.014992271281832987	0.01967676950273952	0.04307952100531339
Agaw	population	2	0.0072924799848302635	0.0072924799848302635	0.007292479984830265
Albanian	population	1	0.0	0.0	0.0
Aleut	population	2	0.005390994507965067	0.005390994507965066	0.005390994507965067
Altaian	population	1	0.0	0.0	0.0
Amhara	population	2	0.016009887567569766	0.016009887567569766	0.01600988756756977
Ami	population	2	0.004285140000714142	0.004285140000714142	0.004285140000714142
Armenian	population	2	0.011899455150914947	0.011899455150914945	0.011899455150914949
Ashkenazi	population	2	0.006042977356848175	0.006042977356848175	0.006042977356848175
Atayal	population	1	0.0	0.0	0.0
Australian	population	2	0.004127265941821109	0.004127265941821109	0.004127265941821112
BEB	population	99	0.009381126979831287	0.011523848058118479	0.030082085312435617
Baka	population	2	0.005777865476896095	0.005777865476896095	0.005777865476896098
Bakola	population	2	0.005544454976459248	0.005544454976459248	0.005544454976459253
Balochi	population	24	0.02539065948797445	0.03324090235052485	0.09537934576703602
BantuKenya	population	10	0.008367754513664484	0.014993262450600871	0.02964107037908997
BantuSouthAfrica	population	8	0.014097260451716116	0.019448112596082066	0.03435783527604686
Basque	population	23	0.01654834676682807	0.017553588769005975	0.027750365611486336
Bedouin	population	46	0.05250744225129683	0.10593474291061904	0.21154204739855018
Bedzan	population	2	0.007208638049987822	0.007208638049987822	0.007208638049987824
BergamoItalian	population	12	0.015050508609828105	0.015616717538159084	0.020394709643854134
Biaka	population	21	0.007551532414915875	0.007893035782849275	0.01151880672491135
Bougainville	population	10	0.0074095563595645755	0.006993568391595949	0.008584967156400196
Brahmin	population	2	0.008437548940625341	0.008437548940625341	0.008437548940625341
Brahui	population	25	0.01471951630969546	0.025158636828034885	0.07470397868874155
Bulala	population	2	0.018087516708658033	0.018087516708658033	0.018087516708658036
Bulgarian	population	2	0.007222111611052781	0.007222111611052781	0.007222111611052781
Burmese	population	2	0.017325782304193217	0.017325782304193217	0.01732578230419322
Burusho	population	24	0.010748557013405692	0.011907673134015664	0.024272262680600863
CDX	population	90	0.0057675476043546016	0.007209219502128352	0.03633653988550887
CEU	population	120	0.017945393628549133	0.018772698203380452	0.03444425779778637
CHB	population	103	0.009755408579201475	0.013868533731100061	0.04125957560607757
CHS	population	103	0.0070960450106889285	0.008572918929179779	0.026511352191084456
CLM	population	97	0.031336540994655486	0.04340902287617197	0.09274754947325616
Cambodian	population	9	0.010734290197798802	0.016198682869239894	0.03623634265477941
Chane	population	1	0.0	0.0	0.0
Chechen	population	1	0.0	0.0	0.0
Chipewyan	population	2	0.005216774084920057	0.005216774084920057	0.005216774084920061
Chukchi	population	1	0.0	0.0	0.0
Colombian	population	7	0.006858128420617858	0.0168140441069622	0.0413236971734026
Cree	population	2	0.015410965584630624	0.015410965584630624	0.015410965584630626
Crete	population	2	0.011371921400052916	0.011371921400052916	0.011371921400052916
Czech	population	1	0.0	0.0	0.0
Dai	population	9	0.005353269154298207	0.005244928940431774	0.006665040484550924
Daur	population	9	0.00538076871633749	0.0065186191501456076	0.010887316951067524
Dinka	population	3	0.005002825986140651	0.004725408098231956	0.0050625287929032346
Druze	population	40	0.058557979742564346	0.07715536278653227	0.18460200204186414
Dusun	population	2	0.004106034840135402	0.004106034840135402	0.004106034840135405
ESN	population	104	0.006510985721938258	0.006775478749978909	0.010679952648348421
Elmolo	population	2	0.024924344373084946	0.024924344373084946	0.024924344373084946
Eskimo_Chaplin	population	1	0.0	0.0	0.0
Eskimo_Naukan	population	2	0.0058706960899840704	0.0058706960899840704	0.005870696089984072
Eskimo_Sireniki	population	2	0.008931800462524873	0.008931800462524873	0.008931800462524874
Estonian	population	2	0.008689756195528291	0.00868975619552829	0.008689756195528293
Even	population	3	0.0066265168098344545	0.019012036249259658	0.03220554799786025
FIN	population	99	0.017469539891059357	0.021997891224678146	0.0487422340909894
French	population	28	0.01931584449356337	0.021647938933169863	0.04529195315110032
Fulani	population	2	0.006324112898962588	0.006324112898962588	0.00632411289896259
